number,artist,song
1,Bob Dylan,'Like a Rolling Stone'
2,The Rolling Stones,'(I Can't Get No) Satisfaction'
3,John Lennon,'Imagine'
4,Marvin Gaye,'What's Going On'
5,Aretha Franklin,'Respect'
6,The Beach Boys,'Good Vibrations'
7,Chuck Berry,'Johnny B. Goode'
8,The Beatles,'Hey Jude'
9,Nirvana,'Smells Like Teen Spirit'
10,Ray Charles,'What'd I Say'
11,The Who,'My Generation'
12,Sam Cooke,'A Change Is Gonna Come'
13,The Beatles,'Yesterday'
14,Bob Dylan,'Blowin' in the Wind'
15,The Clash,'London Calling'
16,The Beatles,'I Want to Hold Your Hand'
17,The Jimi Hendrix Experience,'Purple Haze'
18,Chuck Berry,'Maybellene'
19,Elvis Presley,'Hound Dog'
20,The Beatles,'Let It Be'
21,Bruce Springsteen,'Born to Run'
22,The Ronettes,'Be My Baby'
23,The Beatles,'In My Life'
24,The Impressions,'People Get Ready'
25,The Beach Boys,'God Only Knows'
26,Otis Redding,'(Sittin' on) the Dock of the Bay'
27,Derek and the Dominos,'Layla'
28,The Beatles,'A Day in the Life'
29,The Beatles,'Help!'
30,Johnny Cash,'I Walk the Line'
31,Led Zeppelin,'Stairway to Heaven'
32,The Rolling Stones,'Sympathy for the Devil'
33,Ike and Tina Turner,'River Deep - Mountain High'
34,The Righteous Brothers,'You've Lost That Lovin' Feelin''
35,The Doors,'Light My Fire'
36,U2,'One'
37,Bob Marley,"'No Woman, No Cry'"
38,The Rolling Stones,'Gimme Shelter'
39,Buddy Holly and the Crickets,'That'll Be the Day'
40,Martha Reeves and the Vandellas,'Dancing in the Street'
41,The Band,'The Weight'
42,The Kinks,'Waterloo Sunset'
43,Little Richard,'Tutti-Frutti'
44,Ray Charles,'Georgia on My Mind'
45,Elvis Presley,'Heartbreak Hotel'
46,David Bowie,'Heroes'
47,The Jimi Hendrix Experience,'All Along the Watchtower'
48,Simon and Garfunkel,'Bridge Over Troubled Water'
49,The Eagles,'Hotel California'
50,Smokey Robinson and the Miracles,'The Tracks of My Tears'
51,Grandmaster Flash and the Furious Five,'The Message'
52,Prince,'When Doves Cry'
53,Percy Sledge,'When a Man Loves a Woman'
54,The Kingsmen,'Louie Louie'
55,Little Richard,'Long Tall Sally'
56,The Sex Pistols,'Anarchy in the U.K.'
57,Procol Harum,'Whiter Shade of Pale'
58,Michael Jackson,'Billie Jean'
59,Bob Dylan,'The Times They Are A-Changin'
60,Al Green,'Let's Stay Together'
61,Jerry Lee Lewis,'Whole Lotta Shakin' Going On'
62,Bo Diddley,'Bo Diddley'
63,Buffalo Springfield,'For What It's Worth'
64,The Beatles,'She Loves You'
65,Cream,'Sunshine of Your Love'
66,Bob Marley and the Wailers,'Redemption Song'
67,Elvis Presley,'Jailhouse Rock'
68,Bob Dylan,'Tangled Up in Blue'
69,Roy Orbison,'Crying'
70,Dionne Warwick,'Walk On By'
71,James Brown,'Papa's Got A Brand New Bag'
72,The Beach Boys,'California Girls'
73,Stevie Wonder,'Superstition'
74,Eddie Cochran,'Summertime Blues'
75,Led Zeppelin,'Whole Lotta Love'
76,The Beatles,'Strawberry Fields Forever'
77,Elvis Presley,'Mystery Train'
78,James Brown,'I Got You (I Feel Good)'
79,The Byrds,'Mr. Tambourine Man'
80,The Kinks,'You Really Got Me'
81,Marvin Gaye,'I Heard It Through the Grapevine'
82,Fats Domino,'Blueberry Hill'
83,The Beatles,'Norwegian Wood (This Bird Has Flown)'
84,The Police,'Every Breath You Take'
85,Patsy Cline,'Crazy'
86,Bruce Springsteen,'Thunder Road'
87,Johnny Cash,'Ring of Fire'
88,The Temptations,'My Girl'
89,The Mamas and the Papas,'California Dreamin''
90,The Five Satins,'In the Still of the Night'
91,Elvis Presley,'Suspicious Minds'
92,Ramones,'Blitzkrieg Bop'
93,U2,'I Still Haven't Found What I'm Looking For'
94,Little Richard,"'Good Golly, Miss Molly'"
95,Carl Perkins,'Blue Suede Shoes'
96,Jerry Lee Lewis,'Great Balls of Fire'
97,Chuck Berry,'Roll Over Beethoven'
98,Al Green,'Love and Happiness'
99,Creedence Clearwater Revival,'Fortunate Son'
100,Gnarls Barkley,'Crazy'
